ID,NATURE,nbrs-sommets,Turtle-ID1,degre,x1,y1,Turtle-ID2,degre,x2,y2,Turtle-ID3,degre,x3,y3,Turtle-ID4,degre,x4,y4
METRROTT0000002269780266,Route à 2 chaussées,4,36,3,-5.801624183442286,-6.33625231578517,42,2,-8.71427445684407,-9.977649945301646,41,2,-10.645560194093214,-11.36477937985021,16,2,-13.42132776466389,-12.733432328740763
METRROTT0000002269834359,Route à 1 chaussée,2,35,2,1.4820219332989264,-2.2416125363177875,31,2,1.8834081216625482,-1.3266950991837645
METRROTT0000002269838071,Route à 2 chaussées,2,36,3,-5.801624183442286,-6.33625231578517,12,2,-6.5552496142710455,-6.002018823215812
METRROTT0000002269834360,Route à 1 chaussée,3,11,2,1.4794456144007924,0.05962951260526084,40,2,0.16928415440003552,0.5976043651181807,4,2,-5.224188085715668,0.8440787154116445
METRROTT0000002269779594,Route à 2 chaussées,2,8,3,-21.262324411444542,-15.651741241873065,18,2,-24.14061314981638,-16.335913919303046
METRROTT0000002269843004,Route à 1 chaussée,3,34,2,0.9931635044052077,-2.894058345431345,39,2,-2.557166015095378,-5.9989448021494605,37,2,-4.8262799589853405,-6.598033499870927
METRROTT0000002269780765,Route à 2 chaussées,3,29,2,11.229164131428623,0.008503045112274682,38,2,19.82938064477315,-0.26014422089320155,1,3,22.641761510736426,-0.7360817616569105
METRROTT0000002269815170,Route à 1 chaussée,2,13,2,-7.922273184643945,-3.8969061542630477,33,2,-8.121740463951598,-2.8599531271662313
METRROTT0000002275851125,Route à 2 chaussées,2,37,2,-4.8262799589853405,-6.598033499870927,36,3,-5.801624183442286,-6.33625231578517
METRROTT0000002269841676,Route à 1 chaussée,2,35,2,1.4820219332989264,-2.2416125363177875,34,2,0.9931635044052077,-2.894058345431345
METRROTT0000002269831836,Route à 1 chaussée,3,33,2,-8.121740463951598,-2.8599531271662313,32,2,-7.861743882922122,-0.9788661311596283,3,2,-7.103083904394905,0.07775267036156383
METRROTT0000002269816998,Route à 2 chaussées,2,10,3,1.8954424446828448,-0.5375783898935449,31,2,1.8834081216625482,-1.3266950991837645
METRROTT0000002269780928,Route à 1 chaussée,2,23,2,-9.54306438878008,2.7540743834546624,21,2,-9.927726269805767,2.9368792983838046
METRROTT0000002269780769,Route à 2 chaussées,3,10,3,1.8954424446828448,-0.5375783898935449,30,2,6.26872581122278,0.06798975152724371,29,2,11.229164131428623,0.008503045112274682
METRROTT0000002269779658,Route à 1 chaussée,4,28,1,-32.499999999999034,-18.324312070256507,27,2,-31.31303641140021,-17.755536966080108,26,2,-25.286511311897378,-17.033929584218136,9,3,-19.488892955748668,-15.087682131673448
METRROTT0000002269779593,Route à 1 chaussée,3,8,3,-21.262324411444542,-15.651741241873065,25,2,-30.638836110459565,-16.58100167778073,24,1,-32.38151008768435,-16.18032238630165
METRROTT0000002269780922,Route à 1 chaussée,2,2,3,-6.261213424550852,0.5906303134078507,23,2,-9.54306438878008,2.7540743834546624
METRROTT0000002269779771,Route à 2 chaussées,2,15,2,-16.149577232644077,-13.809457249781294,9,3,-19.488892955748668,-15.087682131673448
METRROTT0000002269781285,Route à 1 chaussée,3,20,2,-10.36542150265203,3.170899863144157,22,2,-12.989454047240612,5.07118650839876,14,2,-16.167070781902293,8.437106512631635
METRROTT0000002269815195,Route à 1 chaussée,2,21,2,-9.927726269805767,2.9368792983838046,20,2,-10.36542150265203,3.170899863144157
METRROTT0000002269780715,Route à 2 chaussées,2,1,3,22.641761510736426,-0.7360817616569105,19,1,25.02212879762813,-1.6617535270242745
METRROTT0000002269779502,Route à 2 chaussées,2,18,2,-24.14061314981638,-16.335913919303046,17,1,-30.71154713698064,-17.119585827238577
METRROTT0000002269815120,Route à 2 chaussées,2,16,2,-13.42132776466389,-12.733432328740763,15,2,-16.149577232644077,-13.809457249781294
METRROTT0000002269781472,Route à 1 chaussée,2,14,2,-16.167070781902293,8.437106512631635,7,2,-18.521495770937644,11.08925731471913
METRROTT0000002269829367,Route à 1 chaussée,2,13,2,-7.922273184643945,-3.8969061542630477,12,2,-6.5552496142710455,-6.002018823215812
METRROTT0000002275851122,Route à 2 chaussées,2,11,2,1.4794456144007924,0.05962951260526084,10,3,1.8954424446828448,-0.5375783898935449
METRROTT0000002269779657,Route à 2 chaussées,2,9,3,-19.488892955748668,-15.087682131673448,8,3,-21.262324411444542,-15.651741241873065
METRROTT0000002269782016,Route à 1 chaussée,3,7,2,-18.521495770937644,11.08925731471913,6,2,-22.1116195826485,14.942905876390475,5,1,-26.257913152497192,18.324312070225655
METRROTT0000002269829368,Route à 2 chaussées,2,2,3,-6.261213424550852,0.5906303134078507,4,2,-5.224188085715668,0.8440787154116445
METRROTT0000002275851120,Route à 2 chaussées,2,3,2,-7.103083904394905,0.07775267036156383,2,3,-6.261213424550852,0.5906303134078507
METRROTT0000002269780714,Route à 1 chaussée,3,1,3,22.641761510736426,-0.7360817616569105,0,1,25.68914452906504,-2.378223156434066
