ID,x,y
feature-fid,x,y
METRROTT0000002269783046,-18.89645607397402,19.479747831753432
METRROTT0000002269783046,-18.47539010935033,19.669932068907894
METRROTT0000002269783318,-17.80771423947629,20.201319483820672
METRROTT0000002269783318,-18.47539010935033,19.669932068907894
METRROTT0000002269780905,-1.6208959573871056,15.40091583154607
METRROTT0000002269780905,-3.0386727966094758,14.915215462316622
METRROTT0000002269780905,-3.268716149217092,14.959047810678825
METRROTT0000002285433118,22.384553958802517,-15.562841914826624
METRROTT0000002285433118,22.52671634326776,-15.52167444986144
METRROTT0000002269767726,27.623971437516033,-12.08635802642977
METRROTT0000002269767726,31.00274016359463,-9.166288897674287
METRROTT0000002269767726,31.781909548711774,-8.562990325341909
METRROTT0000002269765118,23.103156914752866,-15.249920051966123
METRROTT0000002269765118,22.9684571062139,-15.381446967990287
METRROTT0000002269765118,22.52671634326776,-15.52167444986144
METRROTT0000002269764762,-10.213373711300264,-12.146774879709556
METRROTT0000002269764762,-10.599552263317324,-12.046180294191677
METRROTT0000002269762359,-15.489885493690688,-15.75212981925365
METRROTT0000002269762359,-15.097593851696267,-16.65342125108831
METRROTT0000002269761568,-16.717978080309525,-17.172518876799742
METRROTT0000002269761568,-17.30969698258284,-17.438509733627452
METRROTT0000002269765425,-11.742892489211194,-11.634661047224306
METRROTT0000002269765425,-11.839887504073765,-11.28246658673307
METRROTT0000002269761934,12.139691600794414,-12.736276428567459
METRROTT0000002269761934,11.224291358696954,-13.91138797479746
METRROTT0000002269761934,10.223107584693249,-14.889946991412907
METRROTT0000002269761934,9.050372857137592,-15.789250471819482
METRROTT0000002269761934,7.573405526602078,-16.667451114854856
METRROTT0000002269761934,6.1286596763060075,-17.31859454199548
METRROTT0000002269761934,3.884281035069439,-18.127715428766372
METRROTT0000002269761934,-4.997748842368307,-21.917849875132873
METRROTT0000002269778104,-20.15920079784879,10.707962279992147
METRROTT0000002269778104,-20.424812169123978,10.246694415070914
METRROTT0000002269778104,-20.800360284034824,9.940809654475675
METRROTT0000002269778104,-20.820972714107466,9.674986055946231
METRROTT0000002269814483,-11.935433178241496,-14.677483020032858
METRROTT0000002269814483,-11.86075243257562,-14.688440693245457
METRROTT0000002269778145,-23.80459486780932,10.830800432836456
METRROTT0000002269778145,-23.78820112795182,10.82522724786601
METRROTT0000002269767118,-6.78305440287063,-8.98425498662879
METRROTT0000002269767118,-6.773913085139479,-9.162201097154828
METRROTT0000002269761719,7.811598555274122,-17.068760466372712
METRROTT0000002269761719,8.117044525826115,-17.705089722275186
METRROTT0000002269761719,8.356107296973455,-18.372394272263637
METRROTT0000002269761719,8.637884886464109,-19.76677019217876
METRROTT0000002269762808,6.338186992015721,-15.16585468258917
METRROTT0000002269762808,6.378675800305401,-15.207543093712605
METRROTT0000002269762329,-9.860223510064468,-15.841443808441493
METRROTT0000002269762329,-10.33770320522793,-15.836904428397542
METRROTT0000002269763799,-5.468789143196885,-13.364810256696513
METRROTT0000002269763799,-5.211420227906822,-13.420288477805558
METRROTT0000002269763791,-7.566193426426933,-13.359657101366716
METRROTT0000002269763791,-7.659552201853463,-13.863648273068177
METRROTT0000002269764106,-0.2777125223661438,-13.101489658143759
METRROTT0000002269764106,0.40805921404568307,-13.00398495667452
METRROTT0000002269766956,-6.773913085139479,-9.162201097154828
METRROTT0000002269766956,-6.746246878128121,-9.680810887893227
METRROTT0000002269781912,22.47510683961624,17.213841466220682
METRROTT0000002269781912,22.47201897819602,17.208429186950685
METRROTT0000002269772134,23.127361749235956,-1.5595358139700572
METRROTT0000002269772134,21.073223635372116,-3.085622361843441
METRROTT0000002269771954,-16.447188592393694,-1.555493254732931
METRROTT0000002269771954,-16.351148729636886,-1.5910998966655903
METRROTT0000002269773561,5.6824111092698795,1.7287580865562011
METRROTT0000002269773561,5.65224688386592,0.5219918145509191
METRROTT0000002269773642,5.672360316795555,1.8931176902895333
METRROTT0000002269773642,5.6824111092698795,1.7287580865562011
METRROTT0000002269776181,2.959315997960937,7.212865189940202
METRROTT0000002269776181,2.754143978815328,6.662508579483012
METRROTT0000002269776181,2.6997198229567787,6.262624774535225
METRROTT0000002269775976,8.20240180027444,6.80060012447651
METRROTT0000002269775976,7.784527473786835,6.667677188213435
METRROTT0000002269782741,23.613054412145438,18.585420357215643
METRROTT0000002269782741,23.09319411412445,17.96936886570742
METRROTT0000002269778141,-23.78820112795182,10.82522724786601
METRROTT0000002269778141,-23.013737956802064,10.528981625021693
METRROTT0000002269778448,-16.028413584937837,11.254323011911659
METRROTT0000002269778448,-16.020763699107547,10.977931331612892
METRROTT0000002269778448,-16.389650153643668,10.096513693797336
METRROTT0000002269778475,-24.911805505769777,11.360924659439975
METRROTT0000002269778475,-24.562121685053363,11.108948411965175
METRROTT0000002269782382,23.09319411412445,17.96936886570742
METRROTT0000002269782382,22.669807797454876,17.475394839127503
METRROTT0000002269778757,-25.242141969925676,11.847729349228354
METRROTT0000002269778757,-24.911805505769777,11.360924659439975
METRROTT0000002269779440,-17.07683340022901,12.805639892075412
METRROTT0000002269779440,-16.948615357813964,12.526076691283592
METRROTT0000002269779440,-16.26029354611568,11.658222352956296
METRROTT0000002269779440,-16.041996205839027,11.295775833374035
METRROTT0000002269780983,-1.7827968875680047,15.582340216185656
METRROTT0000002269780983,-1.9100124664065719,15.358765097585035
METRROTT0000002269780992,-1.7658440266594218,15.611570074852247
METRROTT0000002269780992,-1.7827968875680047,15.582340216185656
METRROTT0000002269781566,-1.1702803541697258,16.724347534365517
