ID,degre
METRROTT0000002269780266,4
METRROTT0000002269834359,2
METRROTT0000002269838071,2
METRROTT0000002269834360,3
METRROTT0000002269779594,2
METRROTT0000002269843004,3
METRROTT0000002269780765,3
METRROTT0000002269815170,2
METRROTT0000002275851125,2
METRROTT0000002269841676,2
METRROTT0000002269831836,3
METRROTT0000002269816998,2
METRROTT0000002269780928,2
METRROTT0000002269780769,3
METRROTT0000002269779658,4
METRROTT0000002269779593,3
METRROTT0000002269780922,2
METRROTT0000002269779771,2
METRROTT0000002269781285,3
METRROTT0000002269815195,2
METRROTT0000002269780715,2
METRROTT0000002269779502,2
METRROTT0000002269815120,2
METRROTT0000002269781472,2
METRROTT0000002269829367,2
METRROTT0000002275851122,2
METRROTT0000002269779657,2
METRROTT0000002269782016,3
METRROTT0000002269829368,2
METRROTT0000002275851120,2
METRROTT0000002269780714,3
ID,degre
METRROTT0000002269780266,4
METRROTT0000002269834359,2
METRROTT0000002269838071,2
METRROTT0000002269834360,3
METRROTT0000002269779594,2
METRROTT0000002269843004,3
METRROTT0000002269780765,3
METRROTT0000002269815170,2
METRROTT0000002275851125,2
METRROTT0000002269841676,2
METRROTT0000002269831836,3
METRROTT0000002269816998,2
METRROTT0000002269780928,2
METRROTT0000002269780769,3
METRROTT0000002269779658,4
METRROTT0000002269779593,3
METRROTT0000002269780922,2
METRROTT0000002269779771,2
METRROTT0000002269781285,3
METRROTT0000002269815195,2
METRROTT0000002269780715,2
METRROTT0000002269779502,2
METRROTT0000002269815120,2
METRROTT0000002269781472,2
METRROTT0000002269829367,2
METRROTT0000002275851122,2
METRROTT0000002269779657,2
METRROTT0000002269782016,3
METRROTT0000002269829368,2
METRROTT0000002275851120,2
METRROTT0000002269780714,3
