ID,nbrs-sommets,Turtle-ID1,degre,x1,y1,Turtle-ID2,degre,x2,y2,Turtle-ID3,degre,x3,y3,Turtle-ID4,degre,x4,y4,Turtle-ID5,degre,x5,y5,Turtle-ID6,degre,x6,y6,Turtle-ID7,degre,x7,y7,Turtle-ID8,degre,x8,y8,Turtle-ID9,degre,x9,y9,Turtle-ID10,degre,x10,y10
METRROTT0000002269783046,2,4370,2,-9.593585391402193,9.889718129967127,4923,2,-9.379813440131704,9.986273204214775
METRROTT0000002269783318,2,545,3,-9.040839536964885,10.256054507170495,4923,2,-9.379813440131704,9.986273204214775
METRROTT0000002269780905,3,1925,2,-0.822916409134992,7.81892649909262,4922,2,-1.5427108044325029,7.5723401577915155,4012,2,-1.659502044987139,7.594593503883096
METRROTT0000002285433118,2,452,2,11.364465856007431,-7.901135125988901,4918,2,11.436640605043632,-7.880234720698884
METRROTT0000002269767726,3,180,4,14.02447780673891,-6.136150998033575,4921,2,15.73985269844035,-4.6536543634346375,4920,1,16.135431001653668,-4.347364319019738
METRROTT0000002269765118,3,178,4,11.729295049028378,-7.742267103305878,4919,2,11.660908992385517,-7.809042306825838,4918,2,11.436640605043632,-7.880234720698884
METRROTT0000002269764762,2,4844,2,-5.18525126881398,-6.166824169698697,4835,2,-5.381311149068795,-6.1157530724357745
METRROTT0000002269762359,2,2260,2,-7.864095712181426,-7.997235139005698,2453,4,-7.664932263168874,-8.454813865937142
METRROTT0000002269761568,2,4025,2,-8.487588871541758,-8.718355737452177,2986,2,-8.788000006542056,-8.853397249380091
METRROTT0000002269765425,2,1452,3,-5.961776186830297,-5.906827916283109,846,3,-6.011019809760526,-5.728021497879866
METRROTT0000002269761934,8,4851,3,6.163228043480241,-6.466109571426555,4917,2,5.698486382107683,-7.06270466412794,4916,2,5.190193081459649,-7.559511549486553,4915,2,4.594804681316008,-8.016081008769891,4914,2,3.8449597288902853,-8.461936719849389,4913,2,3.1114733741245884,-8.79251722901309,4912,2,1.972019602419869,-9.20330167921985,4911,1,-2.537318643048525,-11.127523782759765
METRROTT0000002269778104,4,3072,3,-10.234671174292462,5.436350080611397,4910,2,-10.369520024324482,5.202167933805233,4909,2,-10.560182913433064,5.046872593810727,4591,2,-10.57064768562379,4.91191599763424
METRROTT0000002269814483,2,3651,2,-6.0595276135687595,-7.451645225555143,3862,2,-6.021612773461468,-7.457208351955386
METRROTT0000002269778145,2,4182,2,-12.085409702118577,5.498714065901585,4903,2,-12.077086726498615,5.495884602762743
METRROTT0000002269767118,2,1207,2,-3.443704542995858,-4.5612371470576925,3193,4,-3.4390635663015816,-4.651579018555528
METRROTT0000002269761719,4,4365,2,3.9658884972930153,-8.665678390619991,4908,2,4.120961066957873,-8.988737859001247,4907,2,4.242331396924985,-9.32752324591846,4906,1,4.385387711589471,-10.035437174490756
